Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/4/1,588.760023,595.189989,588.760023,591.80001,5221100,296.196201,582.0100053,583.6674603,15.299992,87.04630253,77.97047274,1,586.760011,581.840009,581.730012,575.359985,579.74,,,,,,,
2011/4/4,592.999981,594.739999,583.099979,587.679989,4104800,294.134129,583.1280024,584.6983664,10.359991,67.6153277,79.33157346,0,591.80001,586.760011,581.840009,581.730012,575.359985,,,,,,,
2011/4/5,581.080028,581.490018,565.679977,569.090016,12082900,284.829838,582.3050042,582.1460053,-13.069986,11.55553241,74.46353525,0,587.679989,591.80001,586.760011,581.840009,581.730012,,,,,,,
2011/4/6,572.180001,575.159989,567.999981,574.180013,5331200,287.377384,581.5070053,580.6687341,-12.709995,28.8039056,68.60595581,1,569.090016,587.679989,591.80001,586.760011,581.840009,,,,,,,
2011/4/7,575.730037,580.639978,574.190013,579.999993,5057900,290.290287,580.8180038,580.3947319,0.259993,48.5259579,63.86276169,1,574.180013,569.090016,587.679989,591.80001,586.760011,,,,,,,
2011/4/8,584.889996,584.889996,578.05998,578.159977,3799700,289.369358,580.6600015,579.9114543,2.799992,42.2907317,60.42275103,0,579.999993,574.180013,569.090016,587.679989,591.80001,,,,,,,
2011/4/11,576.200025,578.099979,572.999981,577.369997,3712600,288.973972,580.8610027,579.3132717,-4.360015,39.61374194,57.89532,0,578.159977,579.999993,574.180013,569.090016,587.679989,,,,,,,
2011/4/12,574.999993,576.910008,568.04998,570.609979,4167000,285.59058,579.7489994,577.4494492,-11.23003,16.70620127,51.3606096,0,577.369997,578.159977,579.999993,574.180013,569.090016,,,,,,,
2011/4/13,575.509981,577.599991,571.750012,576.280023,4134600,288.42844,579.1930008,576.8187262,-10.479988,35.92016838,47.23884482,1,570.609979,577.369997,578.159977,579.999993,574.180013,,,,,,,
2011/4/14,575.189989,579.450007,572.100003,578.51003,10901600,289.544559,578.3680027,576.6945497,-13.28998,43.47694945,42.15548189,1,576.280023,570.609979,577.369997,578.159977,579.999993,,,,,,,
2011/4/15,545.289987,545.750036,530.059992,530.699977,28059300,265.615604,572.2579994,568.0276359,-56.980012,0.989463406,33.54979798,0,578.51003,576.280023,570.609979,577.369997,578.159977,,,,,,,
